Species,Country,Kingdom,Phylum,System,Native_Regions
Lithobates septentrionalis,Canada,Animalia,Chordata,Freshwater_terrestrial,"Canada, United States of America"
Lithobates sphenocephalus,"Bahamas, United_states",Animalia,Chordata,Freshwater_terrestrial,"China, United States of America"
Lithobates sylvaticus,Canada,Animalia,Chordata,Freshwater_terrestrial,"Canada, United States of America"
Litoria fallax,Guam,Animalia,Chordata,Freshwater_terrestrial,"Australia, Guam"
Litsea glutinosa,"Mayotte, New_calcedonia, Reunion",Plantae,Magnoliophyta,Terrestrial,"Australia, China, Chinese Taipei, Seychelles, Timor-Leste"
Littorina littorea,"Canada, Ireland, United_kingdom, United_states",Animalia,Mollusca,Marine,"Ecuador, United States of America"
Littorina saxatilis,Italy,Animalia,Mollusca,Marine,United Kingdom of Great Britain and Northern Ireland
Livistona chinensis,"Bermuda, China, Fiji, French_polynesia, Guam, Japan, Kiribati, Marshall_islands, Mauritius, Micronesia, Nauru, New_calcedonia, Northern_mariana_islands, Palau, Reunion, Taiwan, United_states, Wallis_and_futuna",Plantae,Magnoliophyta,Terrestrial,
Lonchura castaneothorax,Wallis_and_futuna,Animalia,Chordata,Terrestrial,"Australia, French Polynesia, Indonesia, New Caledonia, Papua New Guinea, United States of America, unknown or invalid"
Lonicera japonica,"Argentina, Australia, Bermuda, Brazil, Dominican_republic, France, Hong_kong, Japan, New_zealand, Portugal, Puerto_rico, Reunion, United_kingdom, United_states",Plantae,Magnoliophyta,Terrestrial,"Australia, China, Chinese Taipei, Japan, United States of America"
Lonicera maackii,"Canada, China, Japan, Russia, South_korea, Turkey, United_states",Plantae,Magnoliophyta,Terrestrial,"China, Korea, Republic of, United States of America"
Lophura leucomelanos,"Argentina, United_states",Animalia,Chordata,Terrestrial,"India, Myanmar, Nepal, United Kingdom of Great Britain and Northern Ireland, United States of America, unknown or invalid"
Lotus corniculatus,"Afghanistan, Albania, Algeria, Antarctica, Argentina, Armenia, Australia, Austria, Azerbaijan, Belarus, Belgium, Bhutan, Bulgaria, Canada, Chile, China, Costa_rica, Cyprus, Czech_republic, Denmark, Egypt, Estonia, Ethiopia, Finland, France, Georgia, Germany, Greece, Hungary, Iceland, India, Iran, Iraq, Ireland, Italy, Japan, Kazakhstan, Kenya, Kuwait, Latvia, Lebanon, Libya, Lithuania, Malta, Moldova, Mongolia, Morocco, Myanmar, Nepal, Netherlands, North_korea, Norway, Pakistan, Poland, Portugal, Romania, Russia, Saudi_arabia, South_korea, Spain, Sudan, Sweden, Switzerland, Syrian_arab_republic, Taiwan, Tajikistan, Tanzania, Tunisia, Turkey, Turkmenistan, Ukraine, United_kingdom, United_states, Yemen",Plantae,Magnoliophyta,Terrestrial,"Estonia, France, Spain"
Ludwigia peruviana,"Argentina, Australia, Belize, Bolivia, Brazil, Cayman_islands, Chile, Colombia, Costa_rica, Cuba, Dominican_republic, Ecuador, El_salvador, French_polynesia, Guatemala, Haiti, Honduras, India, Indonesia, Jamaica, Mexico, New_zealand, Nicaragua, Panama, Paraguay, Peru, Puerto_rico, Sri_lanka, Trinidad_and_tabago, United_states, Uruguay, Venezuela",Plantae,Magnoliophyta,Terrestrial,"Argentina, Brazil, Chinese Taipei, Colombia, France, Panama, United States of America"
Lumbricus rubellus,"Australia, Austria, Belarus, Belgium, Bosnia_and_herzegovnia, Bulgaria, Canada, Chile, Croatia, Czech_republic, Denmark, Estonia, Faroe_islands, Finland, France, Georgia, Germany, Greece, Hungary, Iceland, Ireland, Italy, Latvia, Lithuania, Macedonia, Netherlands, Norway, Poland, Portugal, Romania, Russia, Saint_helena, Slovakia, Slovenia, Spain, Sweden, Switzerland, Turkey, Ukraine, United_kingdom, United_states",Animalia,Annelida,Terrestrial,France
Lumbricus terrestris,"Canada, Romania, Russia, United_states",Animalia,Annelida,Terrestrial,"France, New Zealand, United Kingdom of Great Britain and Northern Ireland"
Lutjanus kasmira,"American_samoa, Australia, Bangladesh, British_indian_ocean_territory, Brunei_darussalam, Cambodia, China, Christmas_island, Comoros, Cook_islands, Djibouti, Egypt, Eritrea, Fiji, French_polynesia, Guam, Hong_kong, India, Indonesia, Japan, Jordan, Kenya, Kiribati, Madagascar, Malaysia, Maldives, Marshall_islands, Mauritius, Micronesia, Mozambique, Myanmar, Nauru, New_zealand, Niue, Norfolk_island, Northern_mariana_islands, Oman, Palau, Papua_new_guinea, Philippines, Reunion, Samoa, Saudi_arabia, Seychelles, Singapore, Solomon_islands, Somalia, South_africa, Sri_lanka, Sudan, Taiwan, Tanzania, Thailand, Timor_leste, Tokelau, Tonga, Tuvalu, United_states, United_states_minor_outlying_islands, Vanauatu, Vietnam, Wallis_and_futuna, Yemen",Animalia,Chordata,Marine,"American Samoa, Australia, British Indian Ocean Territory, Chinese Taipei, Christmas Island, Cocos (Keeling) Islands, Fiji, French Polynesia, Guam, Kenya, Kiribati, Marshall Islands, New Caledonia, Palau, Papua New Guinea, Philippines, Solomon Islands, Sri Lanka, United States of America, Viet Nam"
Luzula campestris,"Albania, Algeria, Australia, Austria, Belarus, Belgium, Bosnia_and_herzegovnia, Bulgaria, Canada, Croatia, Czech_republic, Denmark, Estonia, Falkland_islands, Finland, France, Germany, Greece, Hungary, Ireland, Italy, Latvia, Lithuania, Macedonia, Montenegro, Morocco, Netherlands, New_zealand, Norway, Poland, Portugal, Romania, Russia, Serbia, Slovakia, Slovenia, Spain, Sweden, Switzerland, Ukraine, United_kingdom, United_states",Plantae,Magnoliophyta,Terrestrial,"Canada, France, Portugal, Russian Federation, Spain, United Kingdom of Great Britain and Northern Ireland, United States of America"
Lycalopex griseus,"Argentina, Chile, Falkland_islands, Peru",Animalia,Chordata,Terrestrial,Chile
Lygodium japonicum,"Australia, Bhutan, Cambodia, China, Hong_kong, India, Indonesia, Japan, Laos, Malaysia, Mexico, Nepal, New_calcedonia, New_zealand, North_korea, Papua_new_guinea, Philippines, Puerto_rico, Singapore, South_korea, Sri_lanka, Taiwan, Thailand, United_states, Vietnam",Plantae,Pteridophyta,Terrestrial,"Australia, China, Chinese Taipei, Hong Kong, Philippines, United States of America"
Lygodium microphyllum,"Angola, Australia, Brunei_darussalam, Burundi, Cameroon, China, Cote_d'ivoire, Gabon, Ghana, Guinea, Guinea_bissau, India, Indonesia, Japan, Kenya, Liberia, Malaysia, Micronesia, Mozambique, Nigeria, Papua_new_guinea, Philippines, Senegal, Sierra_leone, South_africa, Taiwan, Tanzania, Thailand, Uganda, United_states, Vietnam, Zambia, Zimbabwe",Plantae,Pteridophyta,Terrestrial,"Australia, China, Chinese Taipei"
Lymantria dispar,"Afghanistan, Albania, Algeria, Austria, Azerbaijan, Bulgaria, Canada, China, Croatia, Czech_republic, Georgia, Germany, Greece, Hungary, Iran, Italy, Japan, Kazakhstan, Kuwait, Kyrgystan, Libya, Mongolia, Morocco, New_zealand, North_korea, Poland, Portugal, Romania, Russia, Serbia, Slovakia, Slovenia, South_korea, Spain, Taiwan, Tunisia, Turkey, Turkmenistan, Ukraine, United_states, Uzbekistan",Animalia,Arthropoda,Terrestrial,"Estonia, France, Netherlands, Slovenia, Spain"
Lythrum salicaria,"Afghanistan, Albania, Algeria, Armenia, Australia, Austria, Azerbaijan, Belgium, Bulgaria, Canada, China, Czech_republic, Denmark, Estonia, Ethiopia, Finland, France, Georgia, Germany, Greece, Hungary, India, Iran, Ireland, Israel, Italy, Japan, Jordan, Latvia, Lebanon, Lithuania, Moldova, Mongolia, Morocco, Netherlands, New_zealand, Pakistan, Poland, Portugal, Romania, Russia, Saint_pierre_and_miquelon, South_africa, Spain, State_of_palestine, Sweden, Switzerland, Syrian_arab_republic, Tunisia, Turkey, Ukraine, United_kingdom, United_states",Plantae,Magnoliophyta,Terrestrial,"Australia, Japan, Russian Federation, Spain"
Macaca fascicularis,"Hong_kong, Indonesia, Mauritius, Palau",Animalia,Chordata,Terrestrial,"India, Indonesia, Malaysia, Myanmar, Papua New Guinea, Philippines, Thailand, United States of America, unknown or invalid"
Macaca mulatta,"Afghanistan, Bhutan, Brazil, China, Cook_islands, Cuba, Germany, Hong_kong, India, Laos, Macao, Mexico, Myanmar, Nepal, Pakistan, Puerto_rico, Thailand, United_states, Vietnam",Animalia,Chordata,Terrestrial,"Australia, Belize, China, India, Lao People’s Democratic Republic, Myanmar, Philippines, Puerto Rico, Thailand, United States of America, Viet Nam, unknown or invalid"
Macfadyena unguis-cati,"Antigua_and_barbuda, Argentina, Australia, Bahamas, Barbados, Belize, Bermuda, Bolivia, Brazil, China, Colombia, Cook_islands, Costa_rica, Cuba, Dominica, Dominican_republic, Ecuador, El_salvador, France, French_guiana, French_polynesia, Greece, Grenada, Guadeloupe, Guatemala, Guyana, Haiti, Honduras, India, Indonesia, Italy, Jamaica, Kenya, Malaysia, Martinique, Mauritius, Mexico, Micronesia, Montserrat, Nepal, New_calcedonia, New_zealand, Nicaragua, Niue, Panama, Paraguay, Peru, Puerto_rico, Reunion, Saint_helena, Saint_kitts_and_nevis, Saint_lucia, Saint_vincent_and_the_grenadines, South_africa, Sri_lanka, Suriname, Switzerland, Trinidad_and_tabago, Uganda, United_states, Uruguay, Vanauatu, Venezuela, Virgin_islands_british, Virgin_islands_us, Zimbabwe",Plantae,Magnoliophyta,Terrestrial,"Argentina, Australia, Brazil, Colombia, Seychelles, Uruguay, Vanuatu"
Maconellicoccus hirsutus,"Anguilla, Australia, Bangladesh, Barbados, Belize, Benin, Bes_islands, Brunei_darussalam, Burkina_faso, Cambodia, Cameroon, Central_african_republic, Chad, China, Congo, Cote_d'ivoire, Democratic_republic_of_congo, Dominica, Egypt, Gabon, Gambia, Grenada, Guadeloupe, Guam, India, Indonesia, Japan, Kenya, Laos, Lebanon, Liberia, Malaysia, Maldives, Mexico, Montserrat, Myanmar, Nepal, Niger, Nigeria, Northern_mariana_islands, Oman, Pakistan, Philippines, Puerto_rico, Saint_kitts_and_nevis, Saint_lucia, Saint_martin, Saint_vincent_and_the_grenadines, Saudi_arabia, Senegal, Seychelles, Singapore, Somalia, Sri_lanka, Sudan, Taiwan, Tanzania, Thailand, Trinidad_and_tabago, Turks_and_caicos_islands, United_arab_emirates, United_states, Venezuela, Vietnam, Virgin_islands_british, Virgin_islands_us, Yemen, Zambia",Animalia,Arthropoda,Terrestrial,
Martes melampus,"Japan, North_korea, South_korea",Animalia,Chordata,Terrestrial,Japan
Melaleuca quinquenervia,"Antigua_and_barbuda, Australia, Bahamas, Barbados, Benin, Bermuda, Brazil, China, Costa_rica, Cuba, Dominican_republic, Egypt, Fiji, France, French_guiana, French_polynesia, Grenada, Guadeloupe, Guam, Guyana, Haiti, Honduras, Hong_kong, India, Indonesia, Italy, Jamaica, Madagascar, Martinique, Mexico, Micronesia, Montserrat, New_calcedonia, New_zealand, Nicaragua, Palau, Panama, Philippines, Puerto_rico, Reunion, Saint_lucia, Saint_vincent_and_the_grenadines, Senegal, Suriname, Taiwan, Trinidad_and_tabago, Turks_and_caicos_islands, Uganda, United_states, Virgin_islands_us",Plantae,Magnoliophyta,Terrestrial,"Australia, New Caledonia, Papua New Guinea"
Melastoma candidum,"China, Japan, Philippines, Taiwan, United_states, Vietnam",Plantae,Magnoliophyta,Terrestrial,"Australia, China, Chinese Taipei, India, Malaysia, Papua New Guinea, Philippines, Seychelles"
Melia azedarach,"Anguilla, Argentina, Australia, Bermuda, Bolivia, China, Cook_islands, Dominican_republic, Ecuador, Fiji, French_polynesia, Guadeloupe, Guam, Hong_kong, India, Indonesia, Italy, Japan, Kiribati, Martinique, Mayotte, Mexico, Micronesia, Nauru, New_calcedonia, Niue, Norfolk_island, Northern_mariana_islands, Palau, Pitcairn, Puerto_rico, Reunion, Saint_barthelemy, Saint_helena, Saint_martin, Solomon_islands, South_africa, Sri_lanka, Swaziland, Tonga, United_states, Uruguay, Virgin_islands_us",Plantae,Magnoliophyta,Terrestrial,"Australia, Bhutan, Chinese Taipei, Croatia, Indonesia, Jamaica, Spain, Suriname, Timor-Leste, United States of America"
Melilotus alba,"Afghanistan, Armenia, Australia, Austria, Azerbaijan, Belarus, Bhutan, Bulgaria, Canada, China, Cyprus, Czech_republic, Egypt, Estonia, France, Georgia, Germany, Greece, Hungary, India, Iran, Iraq, Israel, Italy, Jordan, Kazakhstan, Kuwait, Kyrgystan, Latvia, Lebanon, Libya, Lithuania, Mexico, Moldova, Myanmar, Pakistan, Poland, Romania, Russia, Slovakia, Spain, Tajikistan, Turkey, Turkmenistan, Ukraine, United_states, Uzbekistan",Plantae,Magnoliophyta,Terrestrial,"Canada, France, Italy, Kazakhstan, Malta, Norway, Spain, United Kingdom of Great Britain and Northern Ireland, United States of America"
Melinis minutiflora,"French_polynesia, Guadeloupe, Martinique, New_calcedonia, Reunion, Saint_helena, Wallis_and_futuna",Plantae,Magnoliophyta,Terrestrial,"Australia, Chile, Papua New Guinea"
Melopsittacus undulatus,United_states,Animalia,Chordata,Terrestrial,Australia
Menura novaehollandiae,Australia,Animalia,Chordata,Terrestrial,Australia
Merremia peltata,"American_samoa, Australia, Christmas_island, Comoros, Cook_islands, Fiji, French_polynesia, Guam, India, Indonesia, Malaysia, Marshall_islands, Micronesia, New_calcedonia, Niue, Palau, Papua_new_guinea, Samoa, Seychelles, Solomon_islands, Tonga, Wallis_and_futuna",Plantae,Magnoliophyta,Terrestrial,"Australia, Seychelles, Tonga"
Merremia tuberosa,"Australia, Bermuda, Brazil, China, Cook_islands, Costa_rica, Cuba, Ecuador, Ethiopia, Fiji, France, French_polynesia, Guadeloupe, Guam, Guatemala, Hong_kong, India, Indonesia, Jamaica, Kiribati, Marshall_islands, Martinique, Mauritius, Mayotte, Mexico, Micronesia, New_calcedonia, Niue, Northern_mariana_islands, Peru, Philippines, Puerto_rico, Reunion, Saint_lucia, Samoa, Sri_lanka, Sweden, Taiwan, Tonga, United_kingdom, United_states, United_states_minor_outlying_islands, Venezuela, Virgin_islands_us",Plantae,Magnoliophyta,Terrestrial,Chinese Taipei
Miconia calvescens,"Algeria, Angola, Argentina, Australia, Belgium, Belize, Bolivia, Brazil, Colombia, Costa_rica, Dominican_republic, Ecuador, French_polynesia, Germany, Grenada, Guatemala, Honduras, Indonesia, Jamaica, Mexico, Netherlands, New_calcedonia, Nicaragua, Panama, Paraguay, Peru, Philippines, Reunion, Sri_lanka, United_kingdom, United_states",Plantae,Magnoliophyta,Terrestrial,"Argentina, Brazil, Ecuador, Peru"
Microhyla ornata,Japan,Animalia,Chordata,Freshwater_terrestrial,"Bangladesh, China, Chinese Taipei, India, Japan, Pakistan, Sri Lanka, Thailand, Viet Nam"
Microhyla pulchra,Guam,Animalia,Chordata,Freshwater_terrestrial,"China, Lao People’s Democratic Republic, Thailand, Viet Nam"
Micropterus salmoides,"Algeria, Argentina, Austria, Belarus, Belgium, Bolivia, Botswana, Brazil, Cameroon, Canada, China, Colombia, Congo, Costa_rica, Cuba, Cyprus, Czech_republic, Denmark, Dominican_republic, Ecuador, Egypt, El_salvador, Estonia, Fiji, Finland, France, French_polynesia, Germany, Guam, Guatemala, Honduras, Hong_kong, Hungary, Iran, Italy, Japan, Kenya, Latvia, Lesotho, Lithuania, Madagascar, Malawi, Malaysia, Mauritius, Mexico, Morocco, Mozambique, Namibia, Netherlands, New_calcedonia, Nigeria, North_korea, Norway, Panama, Philippines, Poland, Portugal, Puerto_rico, Reunion, Russia, Slovakia, South_africa, South_korea, Spain, Swaziland, Sweden, Switzerland, Taiwan, Tanzania, Tunisia, Uganda, Ukraine, United_states, Virgin_islands_us, Zambia, Zimbabwe",Animalia,Chordata,Freshwater,"Spain, United States of America"
Microstegium vimineum,"China, India, Japan, Malaysia, Nepal, North_korea, Philippines, Puerto_rico, Russia, South_korea, Taiwan, Thailand, Turkey, United_states",Plantae,Magnoliophyta,Terrestrial,"Chinese Taipei, Japan, Philippines"
Mikania micrantha,"American_samoa, Australia, Bangladesh, British_indian_ocean_territory, China, Christmas_island, Cook_islands, Fiji, French_polynesia, Guadeloupe, Guam, Hong_kong, India, Indonesia, Malaysia, Martinique, Mauritius, Micronesia, Nepal, New_calcedonia, Niue, Northern_mariana_islands, Palau, Papua_new_guinea, Philippines, Reunion, Samoa, Solomon_islands, Sri_lanka, Thailand, Tokelau, Tonga, Tuvalu, Vanauatu, Wallis_and_futuna",Plantae,Magnoliophyta,Terrestrial,"Argentina, Brazil, Chinese Taipei, Christmas Island, Indonesia, Papua New Guinea, Uruguay"
Milax gagates,Brazil,Animalia,Mollusca,Terrestrial,"Australia, France, Ireland, Italy, Malta, New Zealand, South Africa, Spain, United Kingdom of Great Britain and Northern Ireland, United States of America"
Mimosa diplotricha,"American_samoa, Australia, Burundi, Cambodia, Christmas_island, Cook_islands, Fiji, French_polynesia, Guam, India, Malaysia, Mauritius, Mayotte, Micronesia, New_calcedonia, Nigeria, Niue, Northern_mariana_islands, Palau, Papua_new_guinea, Philippines, Reunion, Samoa, Singapore, Solomon_islands, Thailand, Vanauatu, Vietnam, Wallis_and_futuna",Plantae,Magnoliophyta,Terrestrial,"Argentina, Brazil, Cambodia, China, Indonesia, Mexico, Papua New Guinea, Timor-Leste"
Mimosa pigra,"Australia, Cambodia, Dominican_republic, Ghana, Guinea, Indonesia, Kenya, Malaysia, Papua_new_guinea, Saint_lucia, South_africa, Sri_lanka, Swaziland, Tanzania, Thailand, Uganda, United_states, Vietnam",Plantae,Magnoliophyta,Terrestrial,"Argentina, Australia, Bolivia (Plurinational State of), Brazil, China, Chinese Taipei, Colombia, Ecuador"
Mimosa pudica,"Australia, Bangladesh, Belize, British_indian_ocean_territory, Brunei_darussalam, Cambodia, China, Christmas_island, Colombia, Cook_islands, Costa_rica, Cuba, Ecuador, El_salvador, Fiji, French_guiana, French_polynesia, Guadeloupe, Guam, Guatemala, Guinea, Honduras, Hong_kong, India, Indonesia, Japan, Malaysia, Maldives, Marshall_islands, Martinique, Mauritius, Mayotte, Mexico, Micronesia, Nauru, New_calcedonia, Nicaragua, Nigeria, Niue, Palau, Panama, Papua_new_guinea, Peru, Philippines, Puerto_rico, Reunion, Saint_barthelemy, Saint_martin, Samoa, Seychelles, Singapore, Solomon_islands, Sri_lanka, Taiwan, Thailand, Tokelau, Tonga, United_states, Vanauatu, Vietnam, Virgin_islands_us, Wallis_and_futuna",Plantae,Magnoliophyta,Terrestrial,"Australia, Brazil, Chinese Taipei, Colombia"
Mimus gilvus,"Panama, Trinidad_and_tabago",Animalia,Chordata,Terrestrial,"Aruba, Belize, Colombia, Ecuador, Grenada, Guatemala, Guyana, Honduras, Mexico, Peru, Saint Lucia, Venezuela (Bolivarian Republic of)"
Mimus polyglottos,United_states,Animalia,Chordata,Terrestrial,"Puerto Rico, United States of America"
Miscanthus sinensis,"Australia, Chile, China, Indonesia, Japan, Philippines, Russia, South_korea, Taiwan, United_states",Plantae,Magnoliophyta,Terrestrial,"Afghanistan, Canada, China, Chinese Taipei, Japan, Korea (Democratic People’s Republic of), Korea, Republic of, United States of America"
Misgurnus anguillicaudatus,"Australia, Cambodia, China, Germany, Hong_kong, India, Italy, Japan, Laos, Mexico, Myanmar, North_korea, Palau, Philippines, Russia, South_korea, Spain, Taiwan, Thailand, Turkmenistan, United_states, Vietnam",Animalia,Chordata,Freshwater,"China, Japan, Russian Federation, Spain, United States of America"
Mnemiopsis leidyi,"Azerbaijan, Bulgaria, Georgia, Iran, Kazakhstan, Kuwait, Romania, Russia, Turkey, Turkmenistan, Ukraine",Animalia,Ctenophora,Marine,Spain
Molothrus ater,"Canada, Mexico, United_states",Animalia,Chordata,Terrestrial,United States of America
Molothrus bonariensis,"Argentina, Bahamas, Barbados, Bolivia, Brazil, Chile, Colombia, Cuba, Ecuador, French_guiana, Guyana, Jamaica, Martinique, Mexico, Paraguay, Peru, Puerto_rico, Saint_lucia, Saint_vincent_and_the_grenadines, Suriname, Trinidad_and_tabago, United_states, Uruguay, Venezuela",Animalia,Chordata,Terrestrial,"Brazil, Chile, Colombia, Ecuador, Puerto Rico"
Monomorium destructor,"Angola, Australia, Brazil, Christmas_island, Cook_islands, Ecuador, Ethiopia, Fiji, French_polynesia, Ghana, Guinea, Hong_kong, India, Japan, Madagascar, Malaysia, Mozambique, New_zealand, Nigeria, Niue, Palau, Puerto_rico, Samoa, Singapore, Somalia, South_africa, Spain, Sri_lanka, Sudan, United_arab_emirates, United_states",Animalia,Arthropoda,Terrestrial,
Monomorium floricola,"Angola, Anguilla, Antigua_and_barbuda, Aruba, Australia, Bahamas, Barbados, Belize, Bermuda, Bolivia, Brazil, British_indian_ocean_territory, Brunei_darussalam, Cameroon, Canada, Cape_verde, Cayman_islands, Chile, China, Christmas_island, Colombia, Congo, Cook_islands, Costa_rica, Cuba, Dominica, Dominican_republic, Ecuador, El_salvador, Equatorial_guinea, Fiji, French_guiana, French_polynesia, Germany, Ghana, Grenada, Guadeloupe, Guam, Guatemala, Guyana, Haiti, Honduras, Hong_kong, India, Indonesia, Jamaica, Japan, Kiribati, Laos, Madagascar, Malaysia, Marshall_islands, Martinique, Mauritius, Mexico, Micronesia, Montserrat, Myanmar, Netherlands, New_calcedonia, New_zealand, Nicaragua, Nigeria, Niue, North_korea, Northern_mariana_islands, Palau, Panama, Papua_new_guinea, Paraguay, Philippines, Pitcairn, Puerto_rico, Reunion, Saint_kitts_and_nevis, Saint_lucia, Saint_martin, Saint_vincent_and_the_grenadines, Samoa, Seychelles, Singapore, Solomon_islands, South_korea, Sri_lanka, Suriname, Sweden, Switzerland, Taiwan, Tanzania, Thailand, Togo, Tokelau, Tonga, Trinidad_and_tabago, United_kingdom, United_states, United_states_minor_outlying_islands, Vanauatu, Venezuela, Vietnam, Virgin_islands_british, Virgin_islands_us, Wallis_and_futuna",Animalia,Arthropoda,Terrestrial,
Monomorium pharaonis,"Australia, Austria, Bermuda, Cameroon, Central_african_republic, Costa_rica, Czech_republic, Ecuador, Fiji, Gabon, Germany, India, Japan, Madagascar, New_zealand, Poland, Portugal, Saudi_arabia, Spain, Tonga, United_states",Animalia,Arthropoda,Terrestrial,Spain
Monopterus albus,"Australia, Brunei_darussalam, Cambodia, China, Hong_kong, India, Indonesia, Japan, Laos, Malaysia, Myanmar, Philippines, Singapore, Taiwan, Thailand, United_states, Vietnam",Animalia,Chordata,Freshwater,"Cambodia, China, Chinese Taipei, Malaysia, United States of America"
Montia fontana,"Angola, Australia, Austria, Belgium, Bolivia, Bulgaria, Canada, Colombia, Czech_republic, Denmark, Ecuador, Estonia, Ethiopia, Falkland_islands, Finland, France, Germany, Greece, Greenland, Hungary, Iceland, Indonesia, Ireland, Italy, Kenya, Latvia, Lithuania, Morocco, Netherlands, New_zealand, Norway, Papua_new_guinea, Peru, Poland, Portugal, Romania, Russia, Spain, Sweden, Switzerland, Tanzania, Turkey, Uganda, United_kingdom, United_states",Plantae,Magnoliophyta,Terrestrial,"Australia, Falkland Islands (Malvinas), France, Portugal, South Georgia and the South Sandwich Islands, United Kingdom of Great Britain and Northern Ireland, United States of America"
Morella faya,"Australia, New_zealand, Portugal, Spain, United_states",Plantae,Magnoliophyta,Terrestrial,"Portugal, Spain"
Morone americana,United_states,Animalia,Chordata,Brackish,"China, United States of America"
Morus alba,"Argentina, Brazil, Canada, China, Ecuador, Hungary, Italy, Japan, Romania, South_africa, United_states",Plantae,Magnoliophyta,Terrestrial,"Canada, Chinese Taipei, Spain, United States of America"
Mus musculus,"Anguilla, Antarctica, Australia, Bahamas, Bermuda, Brazil, Canada, Cook_islands, Dominica, Dominican_republic, Falkland_islands, Fiji, France, French_polynesia, Guadeloupe, Guam, Haiti, Isle_of_man, Kiribati, Marshall_islands, Martinique, Mauritius, Mayotte, Mexico, Micronesia, Nauru, New_calcedonia, New_zealand, Northern_mariana_islands, Palau, Peru, Pitcairn, Reunion, Saint_helena, Saint_lucia, Sao_tome_and_principe, Solomon_islands, South_africa, Tonga, Trinidad_and_tabago, Tuvalu, United_states, United_states_minor_outlying_islands, Vanauatu, Virgin_islands_british",Animalia,Chordata,Terrestrial,"Bulgaria, Colombia, Israel, Madagascar, Spain, United States of America"
Musculista senhousia,"Australia, Canada, China, Egypt, France, Israel, Italy, Japan, Madagascar, Mexico, New_zealand, North_korea, Russia, Singapore, Slovenia, South_korea, Tanzania, United_states",Animalia,Mollusca,Marine,
Mustela erminea,"Albania, Austria, Belarus, Belgium, Bulgaria, Canada, Croatia, Czech_republic, Denmark, Finland, France, Georgia, Germany, Guernsey, Hungary, Ireland, Isle_of_man, Japan, Jersey, Kazakhstan, Kuwait, Kyrgystan, Latvia, Liechtenstein, Lithuania, Macedonia, Montenegro, Nepal, Netherlands, New_zealand, North_korea, Norway, Poland, Romania, Russia, Serbia, Slovakia, Slovenia, South_korea, Spain, Sweden, Switzerland, Tajikistan, Turkmenistan, Ukraine, United_kingdom, United_states, Uzbekistan",Animalia,Chordata,Terrestrial,"Canada, Croatia, Denmark, Germany, New Zealand, Sweden, United Kingdom of Great Britain and Northern Ireland, United States of America"
Mustela furo,"Australia, Canada, Isle_of_man, Italy, Netherlands, New_zealand, Portugal, Spain, United_kingdom, United_states",Animalia,Chordata,Terrestrial,"Austria, Belgium, Bulgaria, Canada, China, Denmark, France, Germany, Hungary, Netherlands, Spain, United Kingdom of Great Britain and Northern Ireland, United States of America"
Mustela nivalis,"Canada, Egypt, France, Greece, Italy, Malta, New_zealand, Portugal, Sao_tome_and_principe, Spain, Turkey, United_states",Animalia,Chordata,Terrestrial,"Bulgaria, France, Spain, United States of America"
Mya arenaria,"Australia, Canada, Denmark, Estonia, Faroe_islands, Finland, France, Germany, Greece, Iceland, Italy, Japan, Latvia, Lithuania, Norway, Poland, Portugal, Russia, South_korea, Spain, Svalbard_and_jan_mayen, Sweden, United_kingdom, United_states",Animalia,Mollusca,Marine,"United Kingdom of Great Britain and Northern Ireland, United States of America"
Mycale grandis,"Australia, India, Indonesia, Malaysia, Mexico, United_states",Animalia,Porifera,Marine,
Myiopsitta monachus,"Argentina, Australia, Austria, Bahamas, Belgium, Bermuda, Bolivia, Brazil, Canada, Chile, Czech_republic, France, Germany, Italy, Japan, Kenya, Netherlands, Paraguay, Puerto_rico, Spain, United_kingdom, United_states, Uruguay",Animalia,Chordata,Terrestrial,"Argentina, Bolivia (Plurinational State of), Brazil, Israel, Spain, United States of America"
Myocastor coypus,"Argentina, Armenia, Austria, Azerbaijan, Belgium, Bolivia, Botswana, Brazil, Bulgaria, Canada, Chile, China, Croatia, Czech_republic, Denmark, Finland, France, Georgia, Germany, Greece, Hungary, Israel, Italy, Japan, Jordan, Kazakhstan, Kenya, Kuwait, Mexico, Netherlands, Norway, Paraguay, Poland, Romania, Russia, Slovenia, South_korea, Spain, Sweden, Switzerland, Tajikistan, Tanzania, Thailand, Turkey, Turkmenistan, United_kingdom, United_states, Uruguay, Zambia, Zimbabwe",Animalia,Chordata,Freshwater_terrestrial,"Argentina, Chile, Israel, Paraguay, United States of America"
Myriophyllum aquaticum,"Argentina, Australia, Bolivia, Brazil, Chile, Ecuador, Guernsey, Indonesia, Isle_of_man, New_zealand, Paraguay, Peru, Reunion, South_africa, United_kingdom, United_states",Plantae,Magnoliophyta,Terrestrial,"Argentina, Australia, Brazil, Chinese Taipei, Indonesia, Spain, United States of America"
Myriophyllum heterophyllum,"Austria, Belgium, Canada, Germany, Netherlands, Spain, United_states",Plantae,Magnoliophyta,Terrestrial,"Canada, Spain, United States of America"
Myriophyllum spicatum,"Canada, Swaziland, United_states",Plantae,Magnoliophyta,Terrestrial,"Chinese Taipei, Japan, Kazakhstan, Spain, United States of America"
Myrmica rubra,"Belgium, Canada, Czech_republic, Denmark, France, Germany, Ireland, Poland, Russia, Sweden, Ukraine, United_kingdom, United_states",Animalia,Arthropoda,Terrestrial,Spain
